iter	Logloss
0	0.6890865065
1	0.685365266622	0.6814605578
3	0.6775256947
4	0.6738397408
5	0.6707514687
6	0.6681547024
7	0.6639261074
8	0.6606031858
9	0.6572333979
10	0.655323868
11	0.6517950888
12	0.6495826537
13	0.6468118644
14	0.6437693233
15	0.6398401822
16	0.6365203941
17	0.635153687
18	0.6313846271
19	0.62860362
20	0.6270296021
21	0.6240360616
22	0.6217230818
23	0.6186138742
24	0.6174558857
25	0.615439953
26	0.6123768851
27	0.6112448729
28	0.6079887993
29	0.6061168261
30	0.6052472107
31	0.6028199716
32	0.600703358
33	0.5982421499
34	0.597324987
35	0.5953650486
36	0.5946427988
37	0.5933760459
38	0.5924956222
339	0.5742291724440	0.5725907188441	0.570029141
42	0.5690844057
43	0.5676972965
44	0.5653833303
45	0.5633156004
46	0.5605446563
47	0.5595365938
48	0.5588843951
49	0.5576380203
50	0.5552972039
51	0.5536024958
52	0.5517684939
53	0.5503777828
54	0.5487961403
55	0.547176973
56	0.5461476595
57	0.5446224353
58	0.5431472114
59	0.5416170756
60	0.5400826175
61	0.5385910543
62	0.5375953036
63	0.5362269568
64	0.5355728916
65	0.5341155789
66	0.533213542
67	0.5318382862
68	0.5301840498
69	0.5288176349
70	0.570	0.4169271	0.571	0.4147172	0.72	0.41279373	0.73	0.40994974	074	0.407697975	075	0.406066876	076	0.404968277	077	0.403049178	078	0.401543079	079	0.400018280	080	0.397613781	081	0.396029882	0.5116425231
83	83	0.3929928684	0.5091673245
85	85	0.387871348686	0.3855800848787	0.3843186088	88	0.3828538989	89	0.380642390	90	0.3789600991	91	0.3767116892	92	0.3747163993	93	0.3725175794	94	0.3711323295	95	0.369506829696	0.3684614015
97	0.3657064511
98	0.3639031448
99	0.3621871404
100	0.3611933353
101	0.3593446481
102	0.3573657829
103	0.3555945762
104	0.3538473585
105	0.3523128784
106	0.3509228775
107	0.3484292094
108	0.3462669212
109	0.3443941722
110	0.3426332917
111	0.3405639181
112	0.3386644422
113	0.3379624701
114	0.3349027933
115	0.3325528069
116	0.3305422533
117	0.3283010312
118	0.3269571336
119	0.3253406017
120	0.3234243507
121	0.3208725303
122	0.3193861635
123	0.3185721152
124	0.3167848405
125	0.3154338328
126	0.3136944512
127	0.3122394115
128	0.3106287939
129	0.3088015306
130	0.3079716684
131	0.3070278484
132	0.3052878468
133	0.3042318399
134	0.303027589
135	0.3017847941
136	0.3000936656
137	0.2988358539
138	0.2977589817
139	0.2972518902
140	0.2957842191
141	0.2943905159
142	0.2927654541
143	0.2915266002
144	0.2897303707
145	0.2887470707
146	0.2877178474
147	0.2862553635
148	0.2849064878
149	0.2834535742
150	0.2816136095
151	0.2801543346
152	0.2795295493
153	0.2776007531
154	0.2753523674
155	0.2743773593
156	0.2730896347
157	0.2716042492
158	0.2707546286
159	0.2698348782
160	0.268929798
161	0.2661703083
162	0.2654129422
163	0.2645560638
164	0.2626036237
165	0.2617422675
166	0.2598740019
167	0.2583525577
168	0.2570417152
169	0.2556413083
170	0.2544019032
171	0.2519157318
172	0.2499563712
173	0.24890174	0.174	0.24715175	0.175	0.24611176	0.176	0.24463177	0177	0.242892178	0178	0.241867179	0179	0.240024180	0180	0.23858181	0.181	0.23747182	0.182	0.23604183	0.183	0.23504184	0.184	0.23363185	0.185	0.2322363152
186	0.2311698848
187	0.2300140595
188	0.2292903013
189	0.2285354245
190	0.2276577374
191	0.2266278637
192	0.2259213495
193	0.2237912712
194	0.2228982123
195	0.2220218397
196	0.2206627697
197	0.2195577969
198	0.2177326104
199	0.2164122153
200	0.2151067882
201	0.2142702936
202	0.2128768968
203	0.2109668088
204	0.2091719298
205	0.2071843622
206	0.2051742527
207	0.2041757054
208	0.2037273161
209	0.2021191776
210	0.2007080657
211	0.1995230832
212	0.1984167097
213	0.1972763217
214	0.1962106302
215	0.1951894035
216	0.193690874
217	0.1917972583
218	0.1909044611
219	0.1901517437
220	0.1896522067
221	0.1883171743
222	0.187838622
223	0.1870755316
224	0.1853562533
225	0.1843991646
226	0.184038929
227	0.1829994781
228	0.1810106152
229	0.180310646
230	0.1788023069
231	0.1779439332
232	0.1769141818
233	0.1760232261
234	0.1752233848
235	0.1743342422
236	0.1733387451
237	0.1720454755
238	0.1715989777
239	0.170441734
240	0.1694984445
241	0.16890632
242	0.1681053003
243	0.1673083176
244	0.1653441792
245	0.1646174489
246	0.1633355122
247	0.1618011556
248	0.1607407987
249	0.1594188048
5500436
243	0.02435785144
244	0.02415833722
245	0.02397341729
246	0.02376404286
247	0.02360801953
248	0.02341572493
249	0.02330328772
